,ori,data_year,offense,state_abbr,cleared,actual
0,AL0010000,2010,violent-crime,AL,26,349
1,AL0010100,2010,violent-crime,AL,53,289
2,AL0010200,2010,violent-crime,AL,0,1343
3,AL0010400,2010,violent-crime,AL,21,105
4,AL0010500,2010,violent-crime,AL,12,30
5,AL0010600,2010,violent-crime,AL,36,63
6,AL0010700,2010,violent-crime,AL,4,34
7,AL0010800,2010,violent-crime,AL,13,61
8,AL0010900,2010,violent-crime,AL,11,18
9,AL0011000,2010,violent-crime,AL,42,114
10,AL0011100,2010,violent-crime,AL,2,3
11,AL0011200,2010,violent-crime,AL,33,75
12,AL0011300,2010,violent-crime,AL,16,51
13,AL0011400,2010,violent-crime,AL,3,11
14,AL0011600,2010,violent-crime,AL,0,0
15,AL0011900,2010,violent-crime,AL,8,24
16,AL0012000,2010,violent-crime,AL,1,9
17,AL0012100,2010,violent-crime,AL,0,0
18,AL0012200,2010,violent-crime,AL,2,10
19,AL0012300,2010,violent-crime,AL,0,0
0,AL0010000,2011,violent-crime,AL,247,569
1,AL0010100,2011,violent-crime,AL,104,464
2,AL0010200,2011,violent-crime,AL,0,3163
3,AL0010300,2011,violent-crime,AL,6,12
4,AL0010400,2011,violent-crime,AL,28,191
5,AL0010500,2011,violent-crime,AL,20,22
6,AL0010600,2011,violent-crime,AL,14,54
7,AL0010700,2011,violent-crime,AL,5,30
8,AL0010800,2011,violent-crime,AL,10,52
9,AL0010900,2011,violent-crime,AL,12,25
10,AL0011000,2011,violent-crime,AL,31,57
11,AL0011100,2011,violent-crime,AL,6,14
12,AL0011200,2011,violent-crime,AL,23,59
13,AL0011300,2011,violent-crime,AL,15,50
14,AL0011400,2011,violent-crime,AL,2,18
15,AL0011800,2011,violent-crime,AL,0,0
16,AL0011900,2011,violent-crime,AL,13,41
17,AL0012000,2011,violent-crime,AL,4,18
18,AL0012100,2011,violent-crime,AL,0,0
19,AL0012200,2011,violent-crime,AL,10,37
0,AL0010000,2012,violent-crime,AL,302,676
1,AL0010100,2012,violent-crime,AL,91,582
2,AL0010200,2012,violent-crime,AL,0,3237
3,AL0010300,2012,violent-crime,AL,5,8
4,AL0010400,2012,violent-crime,AL,27,153
5,AL0010500,2012,violent-crime,AL,19,27
6,AL0010600,2012,violent-crime,AL,41,58
7,AL0010700,2012,violent-crime,AL,13,42
8,AL0010800,2012,violent-crime,AL,4,15
9,AL0010900,2012,violent-crime,AL,18,22
10,AL0011000,2012,violent-crime,AL,16,50
11,AL0011100,2012,violent-crime,AL,7,20
12,AL0011200,2012,violent-crime,AL,48,86
13,AL0011300,2012,violent-crime,AL,19,53
14,AL0011400,2012,violent-crime,AL,14,17
15,AL0011800,2012,violent-crime,AL,2,51
16,AL0011900,2012,violent-crime,AL,25,43
17,AL0012000,2012,violent-crime,AL,4,16
18,AL0012100,2012,violent-crime,AL,0,0
19,AL0012200,2012,violent-crime,AL,13,28
0,AL0010000,2013,violent-crime,AL,304,705
1,AL0010100,2013,violent-crime,AL,61,527
2,AL0010200,2013,violent-crime,AL,981,2852
3,AL0010300,2013,violent-crime,AL,8,12
4,AL0010400,2013,violent-crime,AL,27,181
5,AL0010500,2013,violent-crime,AL,43,53
6,AL0010600,2013,violent-crime,AL,31,57
7,AL0010700,2013,violent-crime,AL,13,47
8,AL0010800,2013,violent-crime,AL,2,18
9,AL0010900,2013,violent-crime,AL,10,17
10,AL0011000,2013,violent-crime,AL,11,65
11,AL0011100,2013,violent-crime,AL,7,11
12,AL0011200,2013,violent-crime,AL,41,74
13,AL0011300,2013,violent-crime,AL,14,46
14,AL0011400,2013,violent-crime,AL,8,19
15,AL0011800,2013,violent-crime,AL,2,18
16,AL0011900,2013,violent-crime,AL,17,26
17,AL0012000,2013,violent-crime,AL,0,1
18,AL0012200,2013,violent-crime,AL,3,19
19,AL0012300,2013,violent-crime,AL,6,9
0,AL0010000,2014,violent-crime,AL,281,730
1,AL0010100,2014,violent-crime,AL,27,361
2,AL0010200,2014,violent-crime,AL,1142,3369
3,AL0010300,2014,violent-crime,AL,6,10
4,AL0010400,2014,violent-crime,AL,19,119
5,AL0010500,2014,violent-crime,AL,21,29
6,AL0010600,2014,violent-crime,AL,33,61
